tree	group
ambl_Amblyopone_s0	Groupe_3
ambl_Stigmatomma_s1	Groupe_1
ambl_Stigmatomma_s2	Groupe_2
atti_Acromyrmex_s1	Groupe_5
atti_Basiceros_s0	Groupe_9
atti_Blepharidatta_s0	Groupe_8
atti_Cephalotes_s0	Groupe_12
atti_Lenomyrmex_s0	Groupe_4
atti_Myrmicocrypta_s1	Groupe_7
atti_Pheidole_s1	Groupe_11
atti_Pilotrochus_s0	Groupe_10
atti_Sericomyrmex_s1	Groupe_6
atti_Tranopelta_s0	Groupe_8
atti2_Mycetagroicus_s0	Groupe_14
atti2_Mycetomoellerius_s1	Groupe_13
atti2_Sericomyrmex_s0	Groupe_6
atti3_Acromyrmex_s1	Groupe_5
atti3_Lenomyrmex_s0	Groupe_4
atti3_Myrmicocrypta_s1	Groupe_7
atti3_Pheidole_s1	Groupe_11
atti3_Sericomyrmex_s1	Groupe_6
bakb_Adelomyrmex_s0	Groupe_17
bakb_Anonychomyrma_s0	Groupe_27
bakb_Cataglyphis_s0	Groupe_25
bakb_Cheliomyrmex_s0	Groupe_29
bakb_Dinoponera_s0	Groupe_30
bakb_Diplomorium_s0	Groupe_21
bakb_Discothyrea_s0	Groupe_32
bakb_Dorymyrmex_s0	Groupe_28
bakb_Echinopla_s0	Groupe_24
bakb_Goniomma_s0	Groupe_22
bakb_Harpagoxenus_s0	Groupe_20
bakb_Kartidris_s0	Groupe_19
bakb_Nothomyrmecia_s0	Groupe_26
bakb_Ocymyrmex_s0	Groupe_18
bakb_Onychomyrmex_s0	Groupe_31
bakb_Opisthopsis_s0	Groupe_23
bakb_Solenopsis_s0	Groupe_16
bakb_Strongylognathus_s0	Groupe_18
bakb_Trachymyrmex_s0	Groupe_15
basi_Basiceros_s1	Groupe_10
brach_Brachymyrmex_s1	Groupe_33
camp_Calomyrmex_s1	Groupe_34
camp_Polyrhachis_s2	Groupe_35
camp_Polyrhachis_s4	Groupe_35
camp_Polyrhachis_s5	Groupe_35
cata_Cataglyphis_s1	Groupe_25
ceph_Cephalotes_s1	Groupe_12
ceph_Cephalotes_s2	Groupe_36
crea_Crematogaster_s1	Groupe_37
crea_Crematogaster_s2	Groupe_38
crem_Adlerzia_s0	Groupe_42
crem_Ancyridris_s0	Groupe_40
crem_Cardiocondyla_s0	Groupe_18
crem_Carebara_s1	Groupe_21
crem_Crematogaster_s1	Groupe_37
crem_Crematogaster_s2	Groupe_37
crem_Crematogaster_s3	Groupe_37
crem_Crematogaster_s4	Groupe_41
crem_Cyphoidris_s0	Groupe_44
crem_Poecilomyrma_s0	Groupe_39
crem_Tetramorium_s1	Groupe_43
cren_Crematogaster_s1	Groupe_45
cres_Crematogaster_s0	Groupe_41
cret_Crematogaster_s1	Groupe_46
cret_Crematogaster_s2	Groupe_37
doli_Anonychomyrma_s1	Groupe_49
doli_Azteca_s1	Groupe_48
doli_Bothriomyrmex_s1	Groupe_47
doli_Linepithema_s0	Groupe_27
doli_Technomyrmex_s1	Groupe_47
dory_Acanthostichus_s0	Groupe_50
dory_Dorylus_s2	Groupe_52
dory_Dorylus_s3	Groupe_52
dory_Eciton_s1	Groupe_51
dory_Ooceraea_s1	Groupe_53
dory_Parasyscia_s1	Groupe_54
ecta_Poneracantha_s1	Groupe_55
fori_Acropyga_s0	Groupe_57
fori_Anoplolepis_s0	Groupe_60
fori_Aphomomyrmex_s0	Groupe_59
fori_Bajcaridris_s0	Groupe_25
fori_Calomyrmex_s1	Groupe_35
fori_Camponotus_s1	Groupe_61
fori_Camponotus_s2	Groupe_61
fori_Colobopsis_s1	Groupe_62
fori_Formica_s1	Groupe_56
fori_Lepisiota_s0	Groupe_58
fori_Pseudonotoncus_s0	Groupe_64
fori_Teratomyrmex_s0	Groupe_63
form_Polyergus_s0	Groupe_65
lasi_Nylanderia_s1	Groupe_67
lasi_Nylanderia_s2	Groupe_67
lasi_Paraparatrechina_s1	Groupe_66
lasi2_Nylanderia_s10	Groupe_67
lasi2_Nylanderia_s4	Groupe_67
lasi2_Nylanderia_s5	Groupe_67
lasi2_Nylanderia_s6	Groupe_67
lasi2_Nylanderia_s7	Groupe_67
lasi2_Nylanderia_s9	Groupe_67
mami_Aphaenogaster_s0	Groupe_22
mami_Camponotus_s0	Groupe_61
mami_Carebara_s0	Groupe_21
mami_Cataulacus_s0	Groupe_85
mami_Crematogaster_s1	Groupe_37
mami_Crematogaster_s2	Groupe_38
mami_Lepisiota_s0	Groupe_58
mami_Meranoplus_s0	Groupe_86
mami_Monomorium_s2	Groupe_83
mami_Monomorium_s3	Groupe_83
mami_Monomorium_s5	Groupe_83
mami_Monomorium_s6	Groupe_83
mami_Mystrium_s1	Groupe_68
mami_Nesomyrmex_s0	Groupe_84
mami_Nylanderia_s0	Groupe_67
mami_Paraparatrechina_s0	Groupe_66
mami_Paratrechina_s0	Groupe_72
mami_Pheidole_s2	Groupe_11
mami_Pheidole_s3	Groupe_11
mami_Prionopelta_s0	Groupe_32
mami_Simopone_s0	Groupe_69
mami_Strumigenys_s1	Groupe_73
mami_Strumigenys_s10	Groupe_77
mami_Strumigenys_s11	Groupe_77
mami_Strumigenys_s12	Groupe_74
mami_Strumigenys_s13	Groupe_79
mami_Strumigenys_s2	Groupe_74
mami_Strumigenys_s3	Groupe_75
mami_Strumigenys_s4	Groupe_76
mami_Strumigenys_s5	Groupe_77
mami_Strumigenys_s6	Groupe_78
mami_Strumigenys_s8	Groupe_80
mami_Strumigenys_s9	Groupe_81
mami_Syllophopsis_s0	Groupe_82
mami_Technomyrmex_s2	Groupe_71
mami_Technomyrmex_s4	Groupe_47
mami_Technomyrmex_s5	Groupe_47
mami_Tetramorium_s2	Groupe_18
mami_Tetramorium_s4	Groupe_18
mami_Tetramorium_s6	Groupe_18
mami_Tetramorium_s7	Groupe_18
mami_Tetraponera_s1	Groupe_70
mami_Tetraponera_s3	Groupe_70
mami_Tetraponera_s4	Groupe_70
melo_s0	Groupe_64
